total_responses,days_since_last,total_donations,age,gender,blood_type,urgency_level,distance_km,hour_of_day,day_of_week,accepted,acceptance_rate,recency_score,loyalty_score
3,30,0,40,0,2,2,15.44,23,2,1,0.9521919048942766,0.6065306597126334,0.0
4,0,0,26,0,5,2,18.64,19,1,1,0.9157702106521176,1.0,0.0
5,0,0,41,1,4,1,6.13,22,6,1,0.8438306978138698,1.0,0.0
1,5,3,25,0,3,2,5.56,3,1,1,0.7515729513750331,0.9200444146293233,0.3
2,15,4,28,0,3,2,15.9,19,2,1,0.9698289151343518,0.7788007830714049,0.4
5,365,2,40,0,6,1,1.45,16,4,0,0.10958663907621816,0.002280562095392161,0.2
5,0,3,37,0,2,1,12.03,5,3,1,0.7838177279621505,1.0,0.3
1,0,2,33,0,4,2,4.94,1,3,1,0.818349902905272,1.0,0.2
1,60,3,37,0,8,1,2.55,23,5,0,0.02312681026796675,0.36787944117144233,0.3
1,15,4,38,0,5,1,3.15,3,2,0,0.14993207242730971,0.7788007830714049,0.4
0,999,1,37,0,5,2,0.5,8,4,1,0.5,0.0,0.1
15,90,3,25,0,2,1,13.38,2,1,1,0.9189323851752179,0.22313016014842982,0.3
3,0,3,34,0,5,2,45.39,23,5,1,0.8028629365381533,1.0,0.3
3,60,1,29,0,3,2,7.62,21,6,0,0.2806888483756156,0.36787944117144233,0.1
1,999,3,35,0,5,1,13.51,15,3,1,0.823709142027276,0.0,0.3
2,0,2,31,0,8,1,0.5,1,2,0,0.10869046415659507,1.0,0.2
2,15,0,35,1,7,1,7.11,21,4,1,0.9148286647173629,0.7788007830714049,0.0
15,0,10,24,0,1,2,6.44,15,2,1,0.9030356220461369,1.0,1.0
4,0,2,39,1,6,1,5.18,13,3,0,0.390418990023994,1.0,0.2
1,999,2,25,1,1,2,1.0,4,3,1,0.885169682253512,0.0,0.2
4,60,3,32,0,2,1,1.62,4,1,1,0.9513036799040762,0.36787944117144233,0.3
2,15,2,30,0,6,1,0.5,0,2,1,0.6879092073274875,0.7788007830714049,0.2
1,30,3,29,0,8,1,11.31,10,2,1,0.6987807715178775,0.6065306597126334,0.3
1,180,0,35,1,7,1,14.52,2,1,0,0.07319597267008876,0.049787068367863944,0.0
3,15,2,35,0,8,2,0.9,9,4,1,0.8656013663853531,0.7788007830714049,0.2
4,30,3,32,1,4,2,8.79,18,1,1,0.9041856100541766,0.6065306597126334,0.3
2,180,4,30,0,4,2,1.97,22,0,1,0.823209081619813,0.049787068367863944,0.4
2,0,3,38,0,8,2,3.03,12,1,1,0.9723769223237286,1.0,0.3
4,15,3,26,1,5,1,23.05,20,2,1,0.5622554969671241,0.7788007830714049,0.3
2,0,4,27,1,3,2,1.75,19,2,1,0.5375211876593939,1.0,0.4
4,15,3,30,0,4,2,8.45,9,0,1,0.8383216016080598,0.7788007830714049,0.3
1,15,3,30,0,7,1,11.77,23,1,0,0.24824477405288364,0.7788007830714049,0.3
4,0,5,37,0,3,1,35.22,9,3,0,0.01019255277537522,1.0,0.5
0,999,3,26,0,8,1,8.55,19,6,0,0.5,0.0,0.3
3,60,1,36,0,1,1,20.63,9,1,1,0.9452158783245936,0.36787944117144233,0.1
5,30,1,35,0,1,2,8.94,7,0,1,0.9163917900207795,0.6065306597126334,0.1
2,90,0,32,1,3,1,5.02,19,6,0,0.1370394828201399,0.22313016014842982,0.0
3,15,1,26,0,1,1,1.42,5,3,1,0.8614167886275407,0.7788007830714049,0.1
